SubjID;WordType;Genus;Sigstark;En;E;Er;S;Z
51;Rhyme;Masc;3,68833333333333;3;6;0;3;0
51;Rhyme;Neut;3,66916666666667;2;8;1;1;0
52;NoRhyme;Fem;5,54416666666667;11;1;0;0;0
52;NoRhyme;Masc;3,83727272727273;2;9;0;0;0
52;NoRhyme;Neut;3,61333333333333;1;11;0;0;0
52;Rhyme;Fem;4,96250000000000;9;1;2;0;0
52;Rhyme;Masc;3,41750000000000;1;8;2;1;0
52;Rhyme;Neut;3,84166666666667;3;6;3;0;0
53;NoRhyme;Fem;5,55833333333333;11;1;0;0;0
53;NoRhyme;Masc;3,47916666666667;1;9;2;0;0
53;NoRhyme;Neut;3,92000000000000;4;4;4;0;0
53;Rhyme;Fem;4,91000000000000;9;1;2;0;0
53;Rhyme;Masc;3,46333333333333;2;5;5;0;0
53;Rhyme;Neut;4,25333333333333;5;5;2;0;0
54;NoRhyme;Fem;4,98333333333333;8;4;0;0;0
54;NoRhyme;Masc;4,40833333333333;5;7;0;0;0
54;NoRhyme;Neut;3,45000000000000;0;12;0;0;0
54;Rhyme;Fem;5,01500000000000;9;3;0;0;0
54;Rhyme;Masc;4,58583333333333;6;6;0;0;0
54;Rhyme;Neut;3,35083333333333;0;11;1;0;0
55;NoRhyme;Fem;5,36666666666667;10;2;0;0;0
55;NoRhyme;Masc;5,00083333333333;9;3;0;0;0
55;NoRhyme;Neut;4,73909090909091;7;4;0;0;0
55;Rhyme;Fem;4,43333333333333;7;4;1;0;0
55;Rhyme;Masc;4,86916666666667;9;3;0;0;0
55;Rhyme;Neut;4,29416666666667;6;6;0;0;0
56;NoRhyme;Fem;5,75000000000000;12;0;0;0;0
56;NoRhyme;Masc;4,23166666666667;5;5;2;0;0
56;NoRhyme;Neut;2,58166666666667;0;0;12;0;0
56;Rhyme;Fem;5,50583333333333;11;0;1;0;0
56;Rhyme;Masc;4,03833333333333;5;3;4;0;0
56;Rhyme;Neut;2,69000000000000;0;0;12;0;0
57;NoRhyme;Fem;5,17500000000000;9;3;0;0;0
57;NoRhyme;Masc;4,02500000000000;3;9;0;0;0
57;NoRhyme;Neut;3,77166666666667;4;2;6;0;0
57;Rhyme;Fem;5,36666666666667;10;2;0;0;0
57;Rhyme;Masc;3,44416666666667;1;9;2;0;0
57;Rhyme;Neut;3,15916666666667;1;4;7;0;0
58;NoRhyme;Fem;3,47000000000000;4;0;0;8;0
58;NoRhyme;Masc;3,46000000000000;2;6;0;4;0
58;NoRhyme;Neut;3,14666666666667;1;6;0;5;0
58;Rhyme;Fem;3,49666666666667;2;6;1;3;0
58;Rhyme;Masc;4,47833333333333;6;5;0;1;0
58;Rhyme;Neut;3,45666666666667;4;4;1;3;0
59;NoRhyme;Fem;4,06833333333333;4;6;2;0;0
59;NoRhyme;Masc;4,41333333333333;6;4;0;2;0
59;NoRhyme;Neut;4,18833333333333;4;8;0;0;0
59;Rhyme;Fem;3,30000000000000;1;6;5;0;0
59;Rhyme;Masc;3,43916666666667;1;10;1;0;0
59;Rhyme;Neut;3,87000000000000;3;7;2;0;0
60;NoRhyme;Fem;3,37583333333333;0;11;1;0;0
60;NoRhyme;Masc;3,42166666666667;0;12;0;0;0
60;NoRhyme;Neut;2,80916666666667;0;3;7;2;0
60;Rhyme;Fem;3,51636363636364;3;5;3;0;0
60;Rhyme;Masc;3,45833333333333;2;7;3;0;0
60;Rhyme;Neut;3,25000000000000;2;5;3;2;0
61;NoRhyme;Fem;3,65166666666667;3;5;0;4;0
61;NoRhyme;Masc;3,24500000000000;1;7;1;3;0
61;NoRhyme;Neut;3,12750000000000;0;9;0;3;0
61;Rhyme;Fem;3,33333333333333;1;8;0;3;0
