xpos2,inf0
Ggdn,prijaviti
Ggdn,prilagoditi
Ggdn,prinesti
Ggnn,pripenjati
Dd,proti
Ggdn,razbremeniti
Ggdn,raziskati
Ggvn,reformirati
Ggnn,reševati
Ggvn,sankcionirati
Ggnn,shranjevati
Ggdn,skleniti
Ggnn,skrajševati
Ggnn,skrivati
Ggdn,soočiti
Ggnn,spreminjati
Ggdn,storiti
Ggnn,tehtati
Ggvn,testirati
Ggnn,truditi
Ggdn,ubiti
Ggdn,ubraniti
Ggdn,udariti
Ggdn,ukiniti
Ggnn,ukvarjati
Ggdn,umiriti
Ggdn,uporabiti
Ggdn,urediti
Ggdn,ustanoviti
Ggnn,ustavljati
Ggdn,utišati
Ggnn,uvajati
Ggdn,uvesti
Ggvn,verjeti
Ggdn,vključiti
Ggdn,zabrenkati
Ggdn,zabrisati
Ggdn,zadržati
Ggnn,zagovarjati
Ggvn,zahtevati
Ggdn,zamenjati
Ggnn,zanašati
Ggnn,zapirati
Ggnn,zastraševati
Ggnn,zavajati
Ggnn,zavedati
Ggdn,znižati
Ggnn,živeti
